"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
4707,"stance",999,3.4,0.0080354813140712,-0.0056282037903449,3,1,0.275751354691359,0,0.142019004872428,3,0.602059991327962,0.301029995663981,6
4708,"stand",3164,5,0.0697244679374816,0.037181465193556,6,13,0.275751354691359,0.115477217419936,0.142019004872428,3.50037371435337,0.845098040014257,1.14612803567824,5
4709,"stands",1805,NA,0.203740182814699,0.203740182814699,4,3,0.2757514,0.0931094,0.142019,3.25671774597749,0.698970004336019,0.602059991327962,6
4710,"star",2871,6.8,0.0524425735978582,0.0535959679964146,17,16,0.2206881,0.09953567,0,3.45818443557026,1.25527250510331,1.23044892137827,4
4711,"starch",62,4.1,0.212377119079519,0.0932479150733607,3,7,0.2206881,0,0,1.79934054945358,0.602059991327962,0.903089986991944,6
4712,"stare",58,4.5,0.0182576799400679,0.0387977399249655,20,19,0.04975304,0.07400058,0,1.77085201164214,1.32221929473392,1.30102999566398,5
4713,"stared",41,NA,0.0383288556295119,0.0522515628882689,18,20,0.04975304,0,0,1.6232492903979,1.27875360095283,1.32221929473392,6
4714,"stares",71,NA,0.056282545571237,0.0287300857008819,19,21,0.04975304,0,0,1.85733249643127,1.30102999566398,1.34242268082221,6
4715,"stark",494,2.8,0.0224281557338387,0.0067692462348206,15,22,0.2206881,0,0,2.69460519893357,1.20411998265592,1.36172783601759,5
4716,"stars",996,NA,0.0551916658232035,0.0734279563588571,21,18,0.2206881,0.1604647,0,2.99869515831166,1.34242268082221,1.27875360095283,5
4717,"start",7864,2.9,0.0263233391433321,0.0238704844657611,10,11,0.2206881,0.3625701,0,3.89569872695931,1.04139268515822,1.07918124604762,5
4718,"starts",1776,NA,0.114499171907666,0.124142283578376,9,9,0.2206881,0.2344653,0,3.2496874278053,1,1,6
4719,"starve",48,3.8,0.0753050507255866,0.236957539308358,5,4,0.2206881,0,0,1.69019608002851,0.778151250383644,0.698970004336019,6
4720,"starved",108,NA,0.0870198486899283,0.374880110429024,6,2,0.2206881,0,0,2.03742649794062,0.845098040014257,0.477121254719662,7
4721,"starves",4,NA,NA,NA,NA,NA,0.2206881,0.7369656,0,0.698970004336019,NA,NA,7
4722,"stash",31,NA,0.0049249781167665,0.0138524595436992,5,10,0.275751354691359,0.214124805352848,0.142019004872428,1.50514997831991,0.778151250383644,1.04139268515822,5
4723,"stashed",49,NA,0.0522073445246464,0.038332995251121,4,5,0.275751354691359,0.289506617194985,0.142019004872428,1.69897000433602,0.698970004336019,0.778151250383644,7
