"word","uncond.surprisal","uncond.entropy","uncond.ig","coda.cond.surprisal","coda.cond.entropy","coda.coda.ig","onset.cond.surprisal","onset.cond.entropy","onset.cond.ig","gpc.word"
"sought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"s_s_ ough_O_ t_t_ "
"plough",1.716207,1.720948,0.004741019,1.321928,1.521928,0.2,0,0,0,"p_p_ l_l_ ough_aU_ "
"brought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"b_b_ r_r_ ough_O_ t_t_ "
"throughs",3.523562,1.720948,-1.802614,2,1.5,-0.5,0,0,0,"th_T_ r_r_ ough_u_ s_z_ "
"through",3.523562,1.720948,-1.802614,2.321928,1.521928,-0.8,0,0,0,"th_T_ r_r_ ough_u_ "
"bought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,1.584963,0.9182958,-0.6666667,"b_b_ ough_O_ t_t_ "
"thought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0.5849625,0.9182958,0.3333333,"th_T_ ough_O_ t_t_ "
"bough",1.716207,1.720948,0.004741019,1.321928,1.521928,0.2,0.5849625,0.9182958,0.3333333,"b_b_ ough_aU_ "
"noughts",1.06413,1.720948,0.6568177,0.5849625,0.9182958,0.3333333,0,0,0,"n_n_ ough_O_ t_t_ s_s_ "
"ought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"ough_O_ t_t_ "
"boughs",1.716207,1.720948,0.004741019,1,1.5,0.5,0.5849625,0.9182958,0.3333333,"b_b_ ough_aU_ s_z_ "
"nought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"n_n_ ough_O_ t_t_ "
"droughts",1.716207,1.720948,0.004741019,1.584963,0.9182958,-0.6666667,0,0,0,"d_d_ r_r_ ough_aU_ t_t_ s_s_ "
"dough",2.938599,1.720948,-1.217651,1.321928,1.521928,0.2,0,0,0,"d_d_ ough_ou_ "
"ploughs",1.716207,1.720948,0.004741019,1,1.5,0.5,0,0,0,"p_p_ l_l_ ough_aU_ s_z_ "
"fought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"f_f_ ough_O_ t_t_ "
"though",2.938599,1.720948,-1.217651,1.321928,1.521928,0.2,1.584963,0.9182958,-0.6666667,"th_D_ ough_ou_ "
"wrought",1.06413,1.720948,0.6568177,0.1520031,0.4689956,0.3169925,0,0,0,"wr_r_ ough_O_ t_t_ "
"doughs",2.938599,1.720948,-1.217651,2,1.5,-0.5,0,0,0,"d_d_ ough_ou_ s_z_ "
"thoughts",1.06413,1.720948,0.6568177,0.5849625,0.9182958,0.3333333,0.5849625,0.9182958,0.3333333,"th_T_ ough_O_ t_t_ s_s_ "
"drought",1.716207,1.720948,0.004741019,3.321928,0.4689956,-2.852933,0,0,0,"d_d_ r_r_ ough_aU_ t_t_ "
"ploughed",1.716207,1.720948,0.004741019,0,0,0,0,0,0,"p_p_ l_l_ ough_aU_ ed_d_ "
