D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
inducements,0.0699831201247097,0.0699831201247097,0.519501044546781,0.519501044546781,1,1
induces,0.301861480916206,0.026663453064526,0.347817589106145,0.175801940591113,5,1
inducing,NA,-0.0325312304049737,NA,0.0903072557096532,0,1
induct,-0.0245736958327036,0.00376741416004227,0.30234200238929,0.29137549243109,3,3
inducted,0.020641093644096,NA,0.233494002965081,NA,3,0
inductees,NA,-0.0231291795469141,0.697772473993919,0.380245308661214,1,2
induction,0.206754410271668,0.206754410271668,0.440934909538177,0.440934909538177,1,1
inductions,0.206754410271668,0.206754410271668,0.440934909538177,0.440934909538177,1,1
indulge,0.0784607566432857,0.0784607566432857,0.594347470788076,0.698274716148852,3,2
indulged,0.0784607566432857,0.0784607566432857,0.629305180462122,0.698274716148852,3,2
indulgence,0.618297537227511,NA,0.567794941587622,NA,1,0
indulgences,0.618297537227511,NA,0.567794941587622,NA,1,0
industrial,NA,0.11228857011423,0.05726074920155,0.0917780068738651,1,3
industrialism,0.256660277738176,NA,0.129662933100698,NA,2,0
industrialist,0.220844299874226,0.185028322010277,0.105330378667243,0.420013698769586,3,1
industrialists,0.185028322010277,0.185028322010277,0.420013698769586,0.420013698769586,2,1
industrialization,NA,NA,0.726844157073427,NA,1,0
industrialize,0.262716990246869,0.245571571425036,0.2748569314149,0.121300013193516,3,2
industrialized,0.246595921930088,0.327139995009018,0.496788383670552,0.139747274659216,3,2
industrially,NA,0.157335403555456,NA,0.200931544557416,0,2
industries,NA,0.867662554765028,NA,0.691796231317729,0,1
industrious,NA,-0.0581972979723963,NA,-0.0126923787897626,0,2
industry,NA,0.867662554765028,NA,0.691796231317729,0,2
inebriate,NA,NA,0.386078983848113,0.457879025332667,2,1
inedible,NA,0.0310770483422441,NA,0.214164632073991,0,4
ineffective,NA,0.0413385867935829,NA,0.0255370846379706,0,1
ineffectual,NA,-0.0655782762840487,NA,0.210075517373332,0,1
inefficiency,NA,0.221194369860938,NA,0.689838915293756,0,1
ineligible,NA,0.0592711630454417,NA,0.0532748636228771,1,2
inept,0.0687048875359725,NA,0.136595851300051,0.177224998031706,3,2
ineptness,0.0150187213093007,NA,0.242203611826482,NA,2,1
inequality,NA,0.627750026992978,NA,0.775229687274378,0,1
inequitable,0.646573491665801,NA,0.203664772659248,NA,2,1
inequity,-0.0812980728725417,-0.0183209129331505,0.269551955300849,0.485726832101624,1,2
inert,-0.0203754962246863,0.0100926808549282,0.125555118562067,0.0781528619224616,3,5
inertia,0.401938895170604,0.401938895170604,0.378653005853327,0.378653005853327,1,1
inertial,0.401938895170604,0.318373080669946,0.378653005853327,0.225970936905143,1,2
inescapable,0.247118074390294,NA,0.498741924392813,NA,2,1
inescapably,0.247118074390294,NA,0.498741924392813,NA,1,0
inessential,NA,NA,0.377169479385843,0.377169479385843,1,1
inevitable,0.352140114513159,NA,0.598852701114193,NA,1,0
inevitably,0.352140114513159,NA,0.598852701114193,NA,1,0
inexcusable,0.0494713643815926,NA,0.30486887366478,NA,1,0
inexorable,0.050276575830773,NA,0.484242643447152,NA,1,0
inexorably,0.050276575830773,NA,0.484242643447152,NA,1,0
inexperience,0.126203612417961,0.126203612417961,0.493069997599236,0.493069997599236,2,1
inexperienced,0.0100435833482524,0.0100435833482524,0.417797412730168,0.417797412730168,2,2
inexplicable,0.103727650772232,NA,0.266576195791052,NA,1,0
inexplicably,0.103727650772232,NA,0.266576195791052,NA,1,0
inexpressible,0.0566056415580128,NA,0.273539576132574,NA,2,1
inexpressibly,0.0566056415580128,NA,0.273539576132574,NA,1,0
inextricable,0.0336564692527103,NA,0.407228592145426,NA,1,0
infallible,0.0440617738234393,NA,0.280441750612375,NA,2,1
infant,0.28798756426696,0.41706940256251,0.288397645131073,0.393938705117581,4,3
infantryman,0.064729051934992,NA,0.385165560822224,NA,1,0
infantrymen,0.064729051934992,NA,0.385165560822224,NA,1,0
infants,0.290693082217289,0.810883947283737,0.213697751303126,0.725550745183865,5,2
infatuate,NA,NA,1,NA,2,1
infatuation,NA,NA,0.284039035322194,0.284039035322194,1,1
infect,0.232220613666061,0.160831799349897,0.375331055394768,0.314836453593832,5,7
infected,0.213313941730117,0.154867555838465,0.226973171035157,0.192782373986991,3,4
infection,0.337876543498769,0.467288982385588,0.371736653209889,0.413554894308984,3,4
infections,0.516515485496707,0.40087208966124,0.440346796621784,0.400014997535592,4,3
infectious,0.863445673003108,0.855526299046047,0.561342193880359,0.53900961760627,1,1
infer,0.0535162965558644,0.0248520862241672,0.121596873819071,0.183760404690191,3,3
inference,0.420672386170884,NA,0.681379463268259,NA,2,0
inferences,0.420672386170884,NA,0.681379463268259,NA,1,0
inferior,0.0772924550146016,0.0772924550146016,0.114003601979944,0.114003601979944,2,2
infernal,0.0462590158290912,0.0938631748227716,0.140786923628115,0.0425916473254307,1,3
infernally,0.0282474867649511,0.131480914318773,NA,NA,1,2
inferno,NA,NA,0.308535889951929,0.308535889951929,1,1
inferred,0.0188022387016771,0.0188022387016771,0.0525345781537567,0.0525345781537567,1,2
infertile,NA,0.0483565090186061,NA,0.0743422580133299,0,2
infest,0.0210487887939037,0.0166239907712481,0.187894057469977,0.147986969393324,5,7
infestation,0.74455019457417,0.74455019457417,0.786665428489105,0.786665428489105,1,2
infestations,0.74455019457417,0.74455019457417,0.786665428489105,0.786665428489105,2,1
infested,0.0705194151523318,0.0705194151523318,0.166373519344168,0.166373519344168,4,3
infidel,0.134424437209324,0.115260644239953,0.618439663621436,0.411363904312675,1,2
infidelity,NA,-0.0444496733266837,NA,0.645866861473927,0,1
infidels,0.134424437209324,0.134424437209324,0.618439663621436,0.618439663621436,1,1
infield,0.00423710514474381,0.190025042222743,0.0442700572778462,0.0951933448922742,3,7
infielder,0.834253634982659,0.824050854837056,0.655352221868674,0.544269546850645,1,2
infighting,NA,0.023260641646384,0.513764135309479,0.12962843369174,1,3
infiltrate,0.258595747686687,0.471103884456664,0.632750370122511,0.522583626242575,2,1
infiltrated,0.0247141746786153,NA,0.624122588098529,NA,2,0
infiltration,NA,NA,0.612103423587323,0.612103423587323,1,1
infinite,0.40259218076716,0.0232548578412816,0.423201890495478,0.0623266650512982,2,2
infinitesimal,NA,0.305021251886239,NA,0.435362442121708,0,1
infinitesimally,NA,0.305021251886239,NA,0.435362442121708,0,1
infinitive,0.41286804044253,0.41286804044253,0.593437960786577,0.593437960786577,1,1
infinity,0.40259218076716,NA,0.423201890495478,0.194920525532539,1,1
infirm,-0.00595772220384086,-0.00505818399180926,0.0658555957698928,0.0660024051128333,2,4
infirmary,NA,0.0401759177044513,NA,0.242856972562241,0,1
infirmity,NA,0.0267125389868191,NA,0.615843993555931,0,1
