,index,model,adj_residual,max_acc,k,x0,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
142,0,EQ1,0.04728849321647295,0.9658439970106327,10.051562478725723,0.015277531186626605,64195195,NW_UN,200,25,0,0.0020000000000000013
143,0,EQ1,0.05101004423016658,0.8722522036404052,14.3772081210489,0.015670406586769055,64195195,NW_AMB,200,25,0,0.0020000000000000013
144,0,EQ1,0.027261017667338665,0.979606565862866,10.520738495353577,0.012627578313375982,64195200,HF_CON,250,25,0,0.0020000000000000013
145,0,EQ1,0.0323636225194965,0.9931438568135275,11.836149579014602,0.007551511608482418,64195200,LF_CON,250,25,0,0.0020000000000000013
146,0,EQ1,0.05189382999152045,0.9812060902327254,5.341506124612333,1.9531831788856536e-16,64195200,HF_INC,250,25,0,0.0020000000000000013
147,0,EQ1,0.06088032241043801,0.6733395871313583,7.0375566025562035,7.043899168384707e-22,64195200,LF_INC,250,25,0,0.0020000000000000013
148,0,EQ1,0.058472283320684784,0.9055691054977907,14.17823885896783,0.01760516542259938,64195200,NW_UN,250,25,0,0.0020000000000000013
149,0,EQ1,0.0485234723320557,0.8749662857104815,17.83047250069231,0.01575626743276201,64195200,NW_AMB,250,25,0,0.0020000000000000013
150,0,EQ1,0.01634723338059883,0.9444389968127926,7.6205947761224495,0.06312704323314397,64195205,HF_CON,50,5,1,0.0020000000000000013
151,0,EQ1,0.01710723062510997,0.9539287585385239,5.656778341775198,0.04724216314819676,64195205,LF_CON,50,5,1,0.0020000000000000013
152,0,EQ1,0.011179788716788194,0.9720232196011044,4.438968905928142,0.048166069188691714,64195205,HF_INC,50,5,1,0.0020000000000000013
153,0,EQ1,0.009806639511784097,0.7105770301246109,3.327394720494762,0.01788352457659781,64195205,LF_INC,50,5,1,0.0020000000000000013
154,0,EQ1,0.12277491074732384,0.8492765488532201,7.289886775515531,0.06314740759901011,64195205,NW_UN,50,5,1,0.0020000000000000013
155,0,EQ1,0.019127788468609342,0.7560497242246819,4.96315562724496,0.04095901082424439,64195205,NW_AMB,50,5,1,0.0020000000000000013
156,0,EQ1,0.02095043243354466,0.9965755754266864,8.465805831217187,0.029334511912363092,64195210,HF_CON,100,5,1,0.0020000000000000013
157,0,EQ1,0.023110501298474723,0.9999999999999999,7.657208003368404,0.02660942312974644,64195210,LF_CON,100,5,1,0.0020000000000000013
158,0,EQ1,0.039085396230373354,0.9949689335667307,5.593166437381562,0.01482744452426195,64195210,HF_INC,100,5,1,0.0020000000000000013
159,0,EQ1,0.01704366724736542,0.8928562139075554,2.862163872369794,1.4922090559768078e-20,64195210,LF_INC,100,5,1,0.0020000000000000013
160,0,EQ1,0.05167665705711759,0.9040878202583112,6.96932325045394,0.039678264198658386,64195210,NW_UN,100,5,1,0.0020000000000000013
161,0,EQ1,0.023806907993909273,0.8852280772466472,7.208541862605366,0.03816927973219001,64195210,NW_AMB,100,5,1,0.0020000000000000013
162,0,EQ1,0.029555822086526035,0.9800834052956859,7.308257544505391,0.021530734138024372,64195215,HF_CON,150,5,1,0.0020000000000000013
163,0,EQ1,0.015147054307030661,0.9999999999144386,7.97580986381802,0.01836562347842861,64195215,LF_CON,150,5,1,0.0020000000000000013
164,0,EQ1,0.011460485105700398,0.974999589471787,6.106301963015201,0.010142026927679973,64195215,HF_INC,150,5,1,0.0020000000000000013
165,0,EQ1,0.044370958836985365,0.976624151145958,2.2484587884616176,1.6849024209742462e-18,64195215,LF_INC,150,5,1,0.0020000000000000013
166,0,EQ1,0.0233335204451708,0.9144421976690462,10.05231203755969,0.02365231082158633,64195215,NW_UN,150,5,1,0.0020000000000000013
167,0,EQ1,0.03861870505048638,0.7543324729706722,15.916869240301232,0.03409952057059226,64195215,NW_AMB,150,5,1,0.0020000000000000013
168,0,EQ1,0.01048914740489669,0.9903887736179325,9.588912054842165,0.024721737301993386,64195220,HF_CON,200,5,1,0.0020000000000000013
169,0,EQ1,0.02003933109822346,0.9999999999999999,9.100453222313567,0.014534337973531469,64195220,LF_CON,200,5,1,0.0020000000000000013
170,0,EQ1,0.030726705913697226,0.9732254000370106,5.274751767575512,0.011229033931777883,64195220,HF_INC,200,5,1,0.0020000000000000013
171,0,EQ1,0.10879183109111393,0.7174691382662699,4.924525660058931,1.3015723723377072e-20,64195220,LF_INC,200,5,1,0.0020000000000000013
172,0,EQ1,0.03467091885002719,0.9381719328353524,8.554895358299794,0.02038819999376409,64195220,NW_UN,200,5,1,0.0020000000000000013
173,0,EQ1,0.024521269996453886,0.8872886158903267,9.150033642028173,0.017554298049345163,64195220,NW_AMB,200,5,1,0.0020000000000000013
174,0,EQ1,0.027380026605770758,0.9850222677727006,9.916040326789723,0.018398528283216233,64195225,HF_CON,250,5,1,0.0020000000000000013
175,0,EQ1,0.018239925163012136,0.9982576168617627,8.3959544974334,0.016409806165905268,64195225,LF_CON,250,5,1,0.0020000000000000013
176,0,EQ1,0.031969112938817046,0.9826191085287653,5.43873195517712,1.389822513167273e-16,64195225,HF_INC,250,5,1,0.0020000000000000013
177,0,EQ1,0.04173019551165976,0.8501787979432022,3.484787927426927,9.45666838519361e-19,64195225,LF_INC,250,5,1,0.0020000000000000013
178,0,EQ1,0.04732774218206756,0.9125926085063361,9.041328543856325,0.023278376886679417,64195225,NW_UN,250,5,1,0.0020000000000000013
179,0,EQ1,0.07096579127638783,0.8172080726469737,13.372429669290169,0.025433892296799366,64195225,NW_AMB,250,5,1,0.0020000000000000013
180,0,EQ1,0.010924430316789661,0.9670050858385075,7.416153486392645,0.06778201458989247,64195230,HF_CON,50,10,1,0.0020000000000000013
181,0,EQ1,0.013511150576525778,0.9609195073379538,5.386117297642471,0.04825947267293549,64195230,LF_CON,50,10,1,0.0020000000000000013
182,0,EQ1,0.013668580279062703,0.9055335935956627,4.427900796524901,0.033568423479338985,64195230,HF_INC,50,10,1,0.0020000000000000013
183,0,EQ1,0.03663945529146339,0.7275414059146857,2.577137632152428,1.219198123104107e-13,64195230,LF_INC,50,10,1,0.0020000000000000013
184,0,EQ1,0.04115083553370333,0.8746442150948514,6.973900051448702,0.06450632233026889,64195230,NW_UN,50,10,1,0.0020000000000000013
185,0,EQ1,0.014564413243152762,0.7438584604507512,8.110874338998244,0.06558552134490898,64195230,NW_AMB,50,10,1,0.0020000000000000013
186,0,EQ1,0.014940217351274059,0.9813281966228007,9.006729048075746,0.037958917112878014,64195235,HF_CON,100,10,1,0.0020000000000000013
187,0,EQ1,0.016099489374552193,0.9858299034239958,7.318646485062775,0.017038132966633847,64195235,LF_CON,100,10,1,0.0020000000000000013
188,0,EQ1,0.013662550271721202,0.9438028926373299,6.083607299350346,0.021606021784227086,64195235,HF_INC,100,10,1,0.0020000000000000013
189,0,EQ1,0.04940594270428358,0.7363640885047745,3.469572986646508,1.1440472207021357e-19,64195235,LF_INC,100,10,1,0.0020000000000000013
190,0,EQ1,0.01798675739400978,0.8841790330167226,8.232721113393735,0.035771677922075855,64195235,NW_UN,100,10,1,0.0020000000000000013
191,0,EQ1,0.021861515469962196,0.8202177561468924,8.401614091528863,0.029330411362887252,64195235,NW_AMB,100,10,1,0.0020000000000000013
